D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
58234|2018|Toyota|Camry|car|Blue|68912|17995.00
91765|2005|Chevrolet|Silverado|truck|Black|210456|4500.00
23487|2020|Nissan|Rogue|SUV|White|42189|22500.00
65902|2010|Ford|Mustang|car|Red|95632|15500.00
80123|2015|Jeep|Wrangler|SUV|Green|80214|28000.00
12345|2022|Honda|CR-V|SUV|Gray|25876|27000.00
45678|2008|BMW|328i|car|Silver|132987|9800.00
78901|2019|Ram|1500|truck|White|58765|32000.00
24680|2016|Subaru|Outback|SUV|Brown|102345|18500.00
98765|2023|Kia|Telluride|SUV|Black|12456|42000.00
